### Table from https://cccbdb.nist.gov/hf0k.asp
Species,Name,Enthalpy,Reference,DOI
C(CH3)3NH2,"2-Propanamine, 2-methyl-",-87.1,TRC,
C3O2,"Carbon suboxide",-99.7,Gurvich,
N2O3,"Dinitrogen trioxide",91.2,Gurvich,
C3H3NO,Isoxazole,91.3,TRC,
C3H3NO,Oxazole,-2.9,TRC,
C3H4O2,β–Propiolactone,-282.3,TRC,
C3H4O2,"2-Propenoic acid",-311.0,TRC,
C4H4O,Furan,-21.6,1977Ped/Ryl,
C3H6O2,"1,3-Dioxolane",-275.0,1992Dor:9,10.1016/0040-6031(92)80002-E
C4H8O,"Furan, tetrahydro-",-156.4,1992Dor:9,10.1016/0040-6031(92)80002-E
CH3COCH2CH3,2-Butanone,-217.1,TRC,
CHOCH2CH2CH3,Butanal,-185.7,TRC,
C4H10O,1-Butanol,-244.4,TRC,
C4H10O,"Ethanol, 1,1-dimethyl-",-282.2,TRC,
C4H10O,"Ethoxy ethane",-223.4,TRC,
CF4,"Carbon tetrafluoride",-927.2,Gurvich,
F3NO,"Nitrogen trifluoride oxide",-178.8,Gurvich,
FNO3,"Fluorine nitrate",22.3,Gurvich,
CF3OH,trifluoromethanol,-900.8,1997Ash/App:9111,10.1063/1.474017
SiF4,"Silicon tetrafluoride",-1609.5,CODATA,10.1002/bbpc.19900940121
F3PO,"Phosphoryl fluoride",-1243.2,Gurvich,
SF4,"Sulfur tetrafluoride",-753.0,Gurvich,
H2SO4,"Sulfuric acid",-719.0,Gurvich,
C4H4S,Thiophene,127.2,1995Dor/Gur:1351,10.1063/1.555962
C4H6S,"Thiophene, 2,3-dihydro-",109.8,1995Dor/Gur:1351,10.1063/1.555962
C4H6S,"Thiophene, 2,5-dihydro-",105.5,1995Dor/Gur:1351,10.1063/1.555962
C4H8S,"Thiophene, tetrahydro-",-8.3,1995Dor/Gur:1351,10.1063/1.555962
CCl4,"Carbon tetrachloride",-93.3,Gurvich,
CF2Cl2,difluorodichloromethane,-481.8,Gurvich,
CF3Cl,"Methane, chlorotrifluoro-",-702.7,Gurvich,
CFCl3,Trichloromonofluoromethane,-281.8,Gurvich,
Cl3PO,"Phosphoryl chloride",-554.2,JANAF,
ClFO3,"Perchloryl fluoride",-12.7,JANAF,
SiCl4,"Silane, tetrachloro-",-660.1,Gurvich,
SO2Cl2,"Sulfuryl chloride",-348.6,JANAF,
CHClCCl2,Trichloroethylene,-14.0,2002Man:123,10.1063/1.1420703
CH3CCl3,"Ethane, 1,1,1-trichloro-",-131.9,2002Man:123,10.1063/1.1420703
CBr4,"Carbon tetrabromide",150.0,Gurvich,
C6H5,phenyl,352.7,1996Dav/Bie:2590,10.1021/ja00114a023
C6H6,Benzene,100.4,TRC,
C6H8,"1,3-Cyclohexadiene",130.1,TRC,
C6H8,"1,4-Cyclohexadiene",132.6,TRC,
C6H12,Cyclohexane,-83.8,TRC,
C6H12,Ethylcyclobutane,7.7,webbook,10.18434/T4D303
C6H14,"Butane, 2,2-dimethyl-",-143.5,TRC,
C6H14,Hexane,-130.1,TRC,
C6H14,"Pentane, 2-methyl-",-135.3,TRC,
C6H14,"Pentane, 3-methyl-",-132.5,TRC,
C4N2,2-Butynedinitrile,528.6,JANAF,
C5H9N,"Butanenitrile, 2-methyl-",28.8,webbook,10.18434/T4D303
N2O4,"Dinitrogen tetroxide",20.4,Gurvich,
C5H8O,Cyclopentanone,-165.8,TRC,
C5H12O,1-Pentanol,-260.4,TRC,
B2F4,"Diboron tetrafluoride",-1435.6,Gurvich,
C2F4,Tetrafluoroethylene,-656.1,Gurvich,
CF3CN,"Acetonitrile, trifluoro-",-491.6,JANAF,
PF5,"Phosphorus pentafluoride",-1582.4,Gurvich,
C5H10S,"2H-Thiopyran, tetrahydro-",-30.0,1995Dor/Gur:1351,10.1063/1.555962
C5H12S,"Ethyl propyl sulfide",-71.5,webbook,10.18434/T4D303
C5H12S,"Propane, 2-methyl-2-(methylthio)-",-86.1,webbook,10.18434/T4D303
B2Cl4,"Diboron tetrachloride",-490.8,Gurvich,
C2Cl4,Tetrachloroethylene,-23.6,2002Man:123,10.1063/1.1420703
PCl5,"Phosphorus pentachloride",-354.7,JANAF,
BrF5,"bromine pentafluoride",-413.7,Gurvich,
C6H5CH2,"benzyl radical",226.8,2005Rus/Bog:573,10.1063/1.1724828
C7H14,cycloheptane,-72.9,TRC,
SF6,"Sulfur Hexafluoride",-1206.5,JANAF,
C2F6,hexafluoroethane,-1335.6,JANAF,
S8,Octasulfur,104.4,JANAF,
SF5CF3,"Sulfur, pentafluoro(trifluoromethyl)-",-1770.0,2001Chi/Ken:8403,10.1021/jp0116050
